what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1336398170260
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1336398170261
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1336398170263
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1336398170265
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1336398170267
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1336398170269
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1336398170269
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1336398170271
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1336398170272
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1336398170274
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1336398170276
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1336398170278
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1336398170280
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1336398170282
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1336398170283
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1336398170284
os,sysinfo,,,"win32",1336398170286
arch,sysinfo,,,"x86_64",1336398170286
ws,sysinfo,,,"win32",1336398170286
locale,sysinfo,,,"da_DK",1336398170286
processors,sysinfo,,,"4",1336398170286
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1336398170286
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1336398170286
java.specification.name,sysinfo,,,"Java Platform API Specification",1336398170286
java.specification.vendor,sysinfo,,,"Oracle Corporation",1336398170286
java.specification.version,sysinfo,,,"1.7",1336398170286
java.vendor,sysinfo,,,"Oracle Corporation",1336398170286
java.version,sysinfo,,,"1.7.0_02",1336398170286
java.vm.info,sysinfo,,,"mixed mode",1336398170286
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1336398170286
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1336398170286
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1336398170286
java.vm.specification.version,sysinfo,,,"1.7",1336398170286
java.vm.vendor,sysinfo,,,"Oracle Corporation",1336398170286
java.vm.version,sysinfo,,,"22.0-b10",1336398170286
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1336398170291
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1336398170291
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1336398170486
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1336398170637
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1336398170772
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1336398170924
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1336398171058
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1336398171201
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1336398171350
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336398171598
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336398175712
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1336398177296
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1336398177303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336398182484
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1336398184331
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1336398184467
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1336398184513
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336398184759
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1336398184770
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1336398195957
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1336398196022
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1336398196041
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1336398196073
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1336398196139
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336398196329
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336398198470
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1336398198554
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1336398198819
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336398204193
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336398205937
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336398207421
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336398207528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336398209543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336398211218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336398211657
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336398228261
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336398232719
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336398232722
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336398234882
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336398234942
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336398234942
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1336398235868
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336398235869
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336398238156
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336398238204
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336398246480
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336398282742
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336398285706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336398289583
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1336398292867
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1336398305270
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336398309039
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336398310571
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336398310638
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336398312476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336398312741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336398339134
